&c.	etc.
nuncio's	nuntio's
nurseth	nurses
nursh-a	nurse
nussin'	nursing
nuthook's	nut-hook's
nymphes	nymphs
o	oh
o'	of
o'er	over
o'er-laboured	over-labored
o'erbear	overbear
o'erbearing	overbearing
o'erbears	overbears
o'erbeat	over-beat
o'erblows	overblows
o'erboard	overboard
o'erborne	overborne
o'ercame	overcame
o'ercast	overcast
o'ercharged	overcharged
o'ercharging	overcharging
o'ercloyed	overcloyed
o'ercome	overcome
o'ercount	overcount
o'ercovered	overcovered
o'ercrows	overcrows
o'erdoing	overdoing
o'erdusted	overdusted
o'erdyed	over-dyed
o'ereaten	over-eaten
o'ereye	over-eye
o'erfed	overfed
o'erflourished	overflourished
o'erflow	overflow
o'erflowed	overflowed
o'erflowing	overflowing
o'erflows	overflows
o'erfraught	overfraught
o'ergalled	overgalled
o'erglanced	overglanced
o'ergone	overgone
o'ergreat	over-great
o'ergreen	overgreen
o'ergrow	overgrow
o'ergrown	overgrown
o'ergrowth	overgrowth
o'erhang	overhang
o'erhanging	overhanging
o'erhasty	overhasty
o'erhear	overhear
o'erheard	overheard
o'erjoyed	overjoyed
o'erlaboured	over-labored
o'erleap	overleap
o'erleaps	overleaps
o'erleavens	overleavens
o'erlook	overlook
o'erlooked	overlooked
o'erlooking	overlooking
o'ermasterest	overmasterest
o'ermatched	overmatched
o'ermount	overmount
o'ernight	overnight
o'ernight's	overnight's
o'erpaid	overpaid
o'erparted	overparted
o'erpast	overpassed
o'erpays	overpays
o'erpeer	overpeer
o'erperch	overperch
o'erpicturing	overpicturing
o'erposting	overposting
o'erpowered	overpowered
o'erpressed	overpressed
o'erprized	overprized
o'errate	overrate
o'erraught	overreached
o'erreach	overreach
o'erreaches	overreaches
o'erreaching	overreaching
o'erread	overread
o'errule	overrule
o'erruled	overruled
o'errules	overrules
o'errun	overrun
o'erruns	overruns
o'erset	overset
o'ershade	overshade
o'ershades	overshades
o'ershine	overshine
o'ershot	overshot
o'ershowered	overshowered
o'ersized	oversized
o'erskip	overskip
o'erslips	overslips
o'ersnowed	oversnowed
o'erspread	overspread
o'erspreads	overspreads
o'erstare	overstare
o'erstep	overstep
o'erstrawed	overstrawed
o'erstunk	overstunk
o'ersway	oversway
o'ersways	oversways
o'erswell	overswell
o'erta'en	overtaken
o'ertake	overtake
o'erteemed	over-teemed
o'erthrow	overthrow
o'erthrown	overthrown
o'erthrows	overthrows
o'ertook	overtook
o'ertop	overtop
o'ertopping	overtopping
o'ertrip	overtrip
o'erturn	overturn
o'ervalues	overvalues
o'erwalk	overwalk
o'erwatched	overwatched
o'erween	overween
o'erweening	overweening
o'erweens	overweens
o'erweigh	overweigh
o'erweighs	overweighs
o'erwhelm	overwhelm
o'erwhelmed	overwhelmed
o'erwhelming	overwhelming
o'erworn	overworn
o'erwrested	overwrested
o'erwrought	overwrought
o'nothing	nothing
o's	of's
o'things	things
ober	over
obeyed'st	obeyedest
obleeged	obliged
obleeging	obliging
oblig'd	obliged
observancy	observance
occassion	occasion
oder	other
odor	odour
odors	odours
oe'red	overed
of'em's	of'em
of-fhand	off-hand
ofetn	often
offend'st	offendest
offendeth	offends
offer'st	offerest
offert	offered
office-badge	officebadge
officers-at-arms	officer-at-arms
oft-times	ofttimes
oh	o
oh!	oh
oho!	oho
omitt'st	omittest
on'y	only
oncommon	uncommon
onlucky	unlucky
onreasonable	unreasonable
onst	once
ontrys	entries
onwards	onward
onybody	anybody
oped	opened
open-heartedness	openheartedness
opers	operas
opes	opens
oppen't	open't
oppresseth	oppresses
or'nary	ordinary
orful	awful
orter	ought
osses	horses
othergates	othergate
ou	you
oud	old
oughter	ought
oughtna	oughtn't
oughts	ought
ould	old
our'n	ours
our's	ours
oursel	ourselves
ourself	ourselves
oursels	ourselves
oursens	ourselves
ousels	ourselves
out-Churchill'd	out-Churchilled
out-shining	outshining
out-wall	outwall
outgoes	outgos
outwards	outward
over-careful	overcareful
over-rated	overrated
over-running	overrunning
over-salt	oversalt
overcanopied	over-canopied
overcool	over-cool
overdaring	over-daring
overearnest	over-earnest
overgoes	overgos
overgreedy	over-greedy
overhandled	over-handled
overhappy	over-happy
overheard'st	overheardest
overpartial	over-partial
overred	over-red
overta'en	overtaken
overtaketh	overtakes
overweathered	overweather
ow	how
ow'd	old
ow't	aught
owedst	owedest
oweth	owes
owt	aught
ox-head	oxhead
p'ints	points
p'isin	pissing
p'r'aps	perhaps
p'raps	perhaps
p'rhaps	perhaps
p.m.	P.m.
pa'	pa
pabble	babble
pacific	Pacific
pack-saddle	packsaddle
paine	pain
pained'st	painedest
pajock	peacock
palateable	palatable
palfreys	palfries
pandars	panders
panelled	paneled
panelling	paneling
pannels	panels
panteth	pants
pantin'	panting
paper-mill	papermill
parcelled	parceled
parcelling	parceling
parchmentses	parchments
parfect	perfect
park-ward	parkward
parlous	perilous
parridge	porridge
parti-coloured	particoloured
partic'lar	particular
partic'ler	particular
pashful	bashful
pass'd	passed
passeth	passes
passin'	passing
pastiles	pastilles
patines	patens
patrolled	patroled
patrolling	patroling
patronizingly	patronisingly
pattle	battle
pawin'	pawing
pawsed	paused
payed	paid
payement	payment
payne	pain
peacably	peaceably
peace-a	peace
peace-maker	peacemaker
peard	beard
peartest	pertest
peaten	beaten
pecular	peculiar
peddlin'	peddling
peds	beds
peereth	peers
pell-mell	pellmell
pence	pennies
pencilled	penciled
penn'orth	pennyworth
pennyworths	penny-worths
pent	penned
peradventures	peradventure
perceiveth	perceives
peregrinanations	peregrinations
perfect'st	perfectest
peril'd	periled
perilled	periled
perisheth	perishes
permiscus	promiscuous
perry	very
perserved	preserved
pertaking	partaking
pervide	provide
peseech	beseech
petar	petard
petter	better
pew-fellow	pewfellow
phenomonons	phenomena
phoenix'	phoenix's
pianforté	pianoforte
piano-forte	pianoforte
pianoforté	pianoforte
pible	bible
pic-nic	picnic
pick-axe	pickaxe
pick-thanks	pickthanks
pickaxes	pick-axes
picketted	picketed
pickin'	picking
picquetted	picqueted
pictur	picture
picturs	pictures
pid	bid
pierceth	pierces
pilcher	pilchard
pill	peel
pilled	peeled
pinche	pinch
pineth	pines
pinse	pinch
pint-pot	pintpot
pioner	pioneer
pioners	pioneers
pish'd	pished
pisoned	poisoned
pistolling	pistoling
pitied'st	pitiedest
pittie-ward	pity-ward
pityin'	pitying
placeth	places
plaintive's	plaintiff's
plaister	plaster
planteth	plants
plats	plaits
platted	plaited
play'd	played
play'st	playest
playedst	playedest
playeth	plays
playfellows	play-fellows
pleadeth	pleads
pleasant'st	pleasantest
pleaseth	pleases
pleasurin'	pleasuring
pled	pleaded
plesantly	pleasantly
pless	bless
plessed	blessed
plessing	blessing
plood	blood
ploody	bloody
plough'st	ploughest
plow	blow
plows	blows
pluck'st	pluckest
plue	blue
plum-tree	plumtree
plurisy	pleurisy
pocket-book	pocketbook
pody	body
point'st	pointest
point-devise	point-device
pold	bold
poll-axe	pole-axe
pommelled	pommeled
poney	pony
poor'st	poorest
pop'lar	popular
popedome	popedom
pore	poor
porn	born
porpus	porpoise
portcullised	portcullissed
portuguese	Portuguese
possesseth	possesses
post-Captain	post-captain
post-Office	post-office
poste	post
pothecary	apothecary
pottle-pot's	pottle's
pour'st	pourest
pourtray	portray
pouts	poutest
poys	boys
practiques	practics
pragging	bragging
praichin'	preaching
prain	brain
prains	brains
praisin'	praising
praries	prairie
prave	brave
prawls	brawls
pray'st	prayest
prayer-Books	prayer-books
prayin	praying
prayin'	praying
pre-contract	precontract
pre-eminence	preeminence
pre-ordinance	preordinance
preachin'	preaching
preachins	preachings
pread	bread
preceesely	precisely
predeceased	pre-deceased
preeches	breeches
preferr'st	preferrest
preferreth	prefers
prentice	apprentice
prerogatifes	prerogatives
prerogatived	prerogative
presageth	presages
present'st	presentest
presenteth	presents
press'd	pressed
prest	pressed
presumes	presumest
prevaileth	prevails
prevent'st	preventest
prick-song	pricksong
pridge	bridge
prief	brief
prince'	prince's
prince-like	princelike
princess'	princess's
prings	brings
prison-house	prisonhouse
priviliges	privileges
proclaimeth	proclaims
procoeding	proceeding
proctor	Proctor
procure-a	procure
promised'st	promisedest
promiseth	promises
promisin'	promising
prong	pronged
prophecying	prophesying
prophesies	prophecies
prophesy'd	prophesied
proposin	proposing
proud'st	proudest
proud-hearted	proudhearted
proveth	proves
provoketh	provokes
pry'st	priest
pryed	pried
pryin'	prying
pudding-Headed	pudding-headed
puffeth	puffs
puir	poor
pumpion	pompion
punds	pounds
purchaseth	purchases
purhaps	perhaps
purposeth	purposes
pursents	presents
purty	pretty
push-pin	pushpin
put'st	puttest
putter	butter
puttin'	putting
puzzel	puzzle
py'r	by'r
pye	pie
pyramides	pyramids
pyramis	pyramid
pyramises	pyramids
qu	queen
quarl'd	quarreled
quarrelled	quarreled
quarrelling	quarreling
quarrelous	quarrellous
quarter-Deck	quarter-deck
quarter-staves	quarter-staffs
quashimaboo-Aid	quashimaboo-aid
queen-Gold	queen-gold
questionedst	questionedest
quetioned	questioned
quick'st	quickest
quick-sands	quicksands
quick-sighted	quicksighted
quire	choir
quiring	choiring
quitted	quit
quiver'st	quiverest
quoite	quite
raal	real
raced	razed
racin'	racing
rael	real
rageth	rages
ragg	rag
ragged'st	raggedest
rahm	room
rahnd	round
raight	right
rail'st	railest
raileth	rails
railly	really
raily	really
raine	rain
raineth	rains
raisin'	raising
ran'st	ranst
rann	ran
rat-catcher	ratcatcher
rattlin'	rattling
raught	reached
ravelled	raveled
ravin	ravine
ravin'	raving
raybels	rebels
rayly	really
rayther	rather
razeth	razes
re'lly	really
re'ly	really
re-appeared	reappeared
re-assured	reassured
re-composing	recomposing
re-crossed	recrossed
re-salute	resalute
re-send	resend
re-united	reunited
re-word	reword
reacheth	reaches
read'st	readest
readin'	reading
realised	realized
rearin'	rearing
reawnd	round
rebused	abused
rec-eive	receive
recal	recall
recals	recalls
receiver-General	receiver-general
receiveth	receives
reched	reached
recketh	recks
reckin	reckon
recompence	recompense
red-Men	red-men
red-hot	redhot
redd	red
redden'd	reddened
redeem'st	redeemest
rediculous	ridiculous
reeleth	reels
reely	really
refering	referring
reft'st	reftest
reg'lar	regular
reg'mentals	regimentals'
reglar	regular
reign'd	reigned
reigneth	reigns
rein'd	reined
rejoiceth	rejoices
relenteth	relents
relick	relic
relieveth	relieves
reliques	relics
relishin'	relishing
remaineth	remains
remember'st	rememberest
rememebered	remembered
renew'd	renewed
renown'd	renowned
repeat'st	repeatest
report'st	reportest
reposeth	reposes
reproche	reproach
reproveable	reprovable
reprovedst	reprovedest
requireth	requires
requit	requited
rere-mice	rear-mice
resembleth	resembles
resign'd	resigned
resisteth	resists
resolveth	resolves
respect'st	respectest
resteth	rests
restrain'st	restrainest
rether	rather
retored	restored
return'd	returned
return'st	returnest
returne	return
returneth	returns
reuturned	returned
rev'rince	reverence
revelled	reveled
revelling	reveling
reverend'st	reverendest
reviveth	revives
rhumatis	rheumatis
riband	ribbon
ribands	ribbons
ribaudred	ribald
ribband	ribbon
ribbin	ribbon
ribbins	ribbons
rideth	rides
ridin'	riding
rigg'st	riggest
right-Whale	right-whale
ringin'	ringing
ript	ripped
ris'	risen
riseth	rises
rivalled	rivaled
rivelled	riveled
rivetted	riveted
road-way	roadway
roarin	roaring
robb'st	robbest
rock'd	rocked
rockin'	rocking
roos	rose
rooteth	roots
rope-maker	ropemaker
rose-water	rosewater
rough-cast	roughcast
roun'	round
rouseth	rouses
row'd	rowed
royalise	royalize
rrcollections	recollections
rubben	rubbing
rubbidge	rubbish
ruin'd	ruined
rullers	rulers
rumors	rumours
run-away	runaway
runn'st	runnest
runnin'	running
ruther	rather
ryde	ride
rye-straw	ryestraw
s'ciety	society
s'd	should
s'pect	expect
s'pose	suppose
sa'	save
sa'ce	sauce
saddle-bow	saddlebow
sae's	so's
sag-Harbor	sag-harbor
sair	sore
saith	says
sall	shall
sallet	salad
sallets	salads
salt-fish	saltfish
saluteth	salutes
samphire	sampire
sandalled	sandaled
sangviches	sandwiches
sangwitches	sandwiches
sarcenet	sarsenet
sarmon	sermon
sarmons	sermons
sartain	certain
sartin	certain
sartin'	certain
sarve	serve
sarved	served
sate	sat
sav'd	saved
savin'	saving
savins	savings
saw'st	sawest
sawin'	sawing
saxpence	sixpence
say'st	sayest
sayd	said
sayin'	saying
sayst	sayest
scald'st	scaldest
scape	escape
scaped	escaped
scapeth	escapes
scase	scarce
scath	scathe
sceptered	sceptred
schal	shall
scholards	scholars
scimetars	scimitars
scissars	scissors
scoldt	scolded
scolloped	scalloped
sconses	sconces
scorn'st	scornest
scornedst	scornedest
scottish	Scottish
scrapin'	scraping
scratchin'	scratching
scratchins	scratchings
screachin'	screeching
screamin'	screaming
screech-owl	screechowl
screechin'	screeching
scrougin'	scrouging
scrowdging	scrouging
se'nnight	sevennight
se'nnight's	sevennight's
se'nnights	sevennights
sea-boy	seaboy
sea-like	sealike
sea-maid's	seamaid's
sea-mark	seamark
sea-salt	seasalt
sea-shore	seashore
sea-sick	seasick
sea-side	seaside
sea-water	seawater
seafarer	sea-farer
sealing-Wax	sealing-wax
season-on-the-Line	season-on-the-line
sech	such
secmed	seemed
secresy	secrecy
secret'st	secretest
see'st	seest
seeats	seats
seein'	seeing
seek'st	seekest
seem'd	seemed
seem'st	seemest
seemeth	seems
sees't	seest
seese	cheese
seignior	signior
seignories	signories
seizeth	seizes
self-controul	self-control
self-love	selflove
self-misued	self-misused
sellin'	selling
semeth	seems
send'st	sendest
send-a	send
sendeth	sends
sent'st	sentest
sentinelled	sentineled
sepulchred	sepulchered
sepulchring	sepulchering
ser'ous	serious
seris	serious
serjeant	sergeant
serjeants	sergeants
serjeants'	segeants'
serv'd	served
serveth	serves
ses	says
sespicion	suspicion
set'st	settest
setted	set
setten	set
settin'	setting
seven-night	sevennight
sh'	she
sha'n't	shan't
sha'nt	shan't
sha't	shalt
shaamed	shamed
shader	shadow
shadow-like	shadowlike
shakin'	shaking
shaksperian	Shakespearean
shallenge	challenge
shalln't	shan't
shame-faced	shamefaced
shanna	shan't
shant	shan't
sharp'st	sharpest
shawn't	shan't
she'ld	she'd
she-Wolf	she-wolf
sheamfully	shamefully
sheep-biter	sheepbiter
sheep-hook	sheephook
sheep-shearing	sheepshearing
sheep-skin	sheepskin
sheep-skins	sheepskins
shelter'd	sheltered
shew	show
shewed	showed
shewing	showing
shewn	shown
shews	shows
shif'less	shiftless
shifless	shiftless
shineth	shines
shipwrack	shipwreck
shodld	should
shoo	she
shoo'll	she'll
shoo's	she's
shoon	shoes
shooteth	shoots
short'st	shortest
shortenin'	shortening
should'nt	shouldn't
should'st	shouldst
shouldna	shouldn't
shovelled	shoveled
show'd	showed
show'st	showest
showd	shown
showin'	showing
shrieve's	sheriff's
shrivelled	shriveled
shrove-tide	shrovetide
shrowd	shroud
shrows	shrews
shrug'st	shruggest
shyed	shied
sic	such
siccan	such
sich	such
sicilian	Sicilian
sick-fall'n	sick-fallen
sicken'd	sickened
sidier	soldier
siftin'	sifting
sigh'st	sighest
siller	silver
silling	shilling
sin'	since
sing'lar	singular
sing'st	singest
singe	sing
singeth	sings
singin	singing
singin'	singing
sinketh	sinks
sinne	sin
sinnifies	signifies
sipt	sipped
sirnames	surnames
sis's	sister's
sit'st	sittest
sithence	since
sitteth	sits
sittin	sitting
sittin'	sitting
six-or-seven-times-honoured	six-or-seven-times-honored
sixpences	sixpence
sixpenn'orth	sixpenny-worth
skeery	scary
skeeter	mosquito
slaketh	slakes
slanderin'	slandering
slandthering	slandering
slap-Bang	slap-bang
slappin'	slapping
slash'd	slashed
slave-like	slavelike
slayeth	slays
sleave	sleeve
sleep'st	sleepest
sleepe	sleep
slep	slept
slew'st	slewest
slip-shod	slipshod
slipt	slipped
slomber	slumber
slyly	slily
sma'	small
smackin'	smacking
small'st	smallest
small-e	small
smell'st	smellest
smelt	smelled
smiledst	smiledest
smilin	smiling
smilin'	smiling
smiteth	smites
smoaking	smoking
smooth'st	smoothest
smooth-pates	smoothy-pates
smother'st	smotherest
snapp'st	snappest
snapt	snapped
snarleth	snarls
snipt-taffeta	snipt-taffata
so'	so
so'ger	soldier
soa	so
soakin'-in	soaking-in
soe'er	soever
soft-hearted	softhearted
soh	so
solder'st	solderest
solidares	solidars
soly	solely
sombre	somber
somer	somewhere
somethin'	something
somethink	something
sometimes	sometime
somewhar	somewhere
somewheres	somewhere
son-in-laws	sons-in-law
sonatta	sonata
sone	soon
sopha	sofa
sor	saw
sorowfully	sorrowfully
sorteth	sorts
sou'-wester	south-wester
sought'st	soughtest
sould	should
south'ard	southward
south-west	southwest
sovereign'st	sovereignest
sowd	sown
spak	spoke
spake	spoke
spakes	speaks
spakest	spokest
spanish	Spanish
speak'st	speakest
speak-a	speak
speak-e	speak
speaketh	speaks
speakin'	speaking
specs	expects
spect	expect
spected	expected
spectin	expecting
spects	expects
speeded	sped
speedly	speedily
speken	speak
spelt	spelled
spend'st	spendest
sperm-Whale	sperm-whale
sperma-ceti	spermaceti
sperr	spur
sperrit	spirit
spicin'	spicing
spileing	spoiling
spilin'	spilling
spilt	spilled
spinnin'	spinning
spiralling	spiraling
spirit-Spout	spirit-spout
splendor	splendour
split'st	splittest
splitted	split
spoilt	spoiled
spos-ee	suppose
spouter-Inn	spouter-inn
sprang'st	sprangest
sprange	sprang
sprawl'st	sprawlest
spring-time	springtime
springeth	springs
springin'	springing
sprited	spirited
spung'd	spunged
spur'd	spurred
spurn'st	spurnest
spy'st	spiest
squier	squire
squire's'	squire's
squoire's	squire's
st	saint
stab'st	stabbedst
stablish	establish
stablishment	establishment
staid	stayed
staineth	stains
stalkin'	stalking
stan'	stand
stanchless	staunchless
stand'st	standest
standers-of-mast-heads	stander-of-mast-heads
standeth	stands
standin'	standing
standst	standest
stannin'	standing
stanning	standing
stans	stands
star-gazers	stargazers
starin'	staring
start-up	startup
starteth	starts
startin'	starting
starveth	starves
starvin	starving
stattits	statutes
stay'st	stayest
stayin'	staying
stealeth	steals
stearing	staring
stedfast	steadfast
stedfastly	steadfastly
steep-down	steepdown
stencilled	stenciled
stepp'd	stepped
stept	stepped
stern'st	sternest
stick'st	stickest
stickin'	sticking
stiddy	steady
stile-a	stile
still-born	stillborn
still-stand	stillstand
stingeth	stings
stipt	stepped
stirr'st	stirrest
stirreth	stirs
stirrin'	stirring
stirrup-Cup	stirrup-cup
stoccadoes	stoccatas
stock-Exchange	stock-exchange
stock-fish	stockfish
stockens	stockings
stockins	stockings
stol'n	stolen
ston'	stone
stone-bow	stonebow
stone-cutter	stonecutter
stonished	astonished
stony-hearted	stonyhearted
stopp'd	stopped
stopt	stopped
straight-forward	straightforward
straitfor'ard	straightforward
strappin'	strapping
strenly	sternly
strew'st	strewest
strict'st	strictest
striketh	strikes
strikin'	striking
stringin'	stringing
stript	stripped
strivin'	striving
strokedst	strokedest
strong'st	strongest
strornary	extraordinary
strown	strewn
struck'st	struckest
stubbs	stubs
stumbleth	stumbles
stumpin	stumping
stun'sails	stun-sails
suall	shall
sub-Sub-Librarian	sub-sub-librarian
subsistance	subsistence
subtile	subtle
subtilties	subtleties
subtilty	subtlety
succor	succour
such-like	suchlike
suck'st	suckest
suckin'	sucking
sudn't	shouldn't
sueing	suing
suerly	surely
sueth	sues
suffer'st	sufferest
sufferin'	suffering
sufficeth	suffices
suffocate	suffocated
sugar-candy	sugarcandy
suggesteth	suggests
suites	suits
sulkin'	sulking
summat	somewhat
summonsizzing	summonsing
summut	somewhat
sun-like	sunlike
sun-rise	sunrise
sun-set	sunset'
sunsett	sunset
super-serviceable	superserviceable
supplyant	suppliant
supplyment	supplement
supposin	supposing
suppresseth	suppresses
sure-ly	surely
surpasseth	surpasses
surprize	surprise
surprized	surprised
surprizes	surprises
surprizing	surprising
suspecteth	suspects
suthin	something
suthin'	something
swag-bellied	swagbellied
swallar	swallow
swallering	swallowing
swallers	swallows
swarin'	swearing
swarths	swaths
swath'd	swathed
swathling	swaddling
sway'st	swayest
swear'st	swearest
swearin'	swearing
sweaten	sweated
sweet'st	sweetest
swell'd	swelled
swell'st	swellest
swelleth	swells
swep	swept
swet	sweat
swine-herds	swineherds
swoln	swollen
sword-Fish	sword-fish
swound	swoon
swounded	swooned
swuir	swore
symptims	symptoms
syne	since
t'bargin	bargain
t'boards	boards
t'day	today
t'do	do
t'father	father
t'fowld	twofold
t'gallant	topgallant
t'gallant-mast	top-gallant-mast
t'gallant-sails	top-gallant-sails
t'kitchen	kitchen
t'lads	lads
t'maister	master
t'maister's	master's
t'other	other
t'othered	other
t'others	others
t'road	road
t'sowl	soul
t'will	it'll
tOM'S	Tom's
ta'	to
ta'en	taken
taan	taken
table-Rock	table-rock
tabourines	tabourins
taen	taken
tag-rag	tagrag
tahitan	Tahitan
tak	taken
tak'	take
tak'st	takest
take-a	take
taketh	takes
takin'	taking
talk'st	talkest
talkin	talking
talkin'	talking
tall-Spout	tall-spout
tallin'	talling
tan't	'tisn't
tap-house	taphouse
tarin'	tearing
tarr'd	tarred
tasselled	tasseled
tastin'	tasting
tat's	that's
tattering	tottering
taught'st	taughtest
tauld	told
taxt	taxed
taykettles	teakettles
teacheth	teaches
tear-stained	tearstained
tearin'	tearing
teazed	teased
teazin'	teazing
teazing	teasing
tek	take
tell'd	told
tell'st	tellest
tell-a	tell
tell-tale	telltale
tell-tales	telltales
tellin	telling
tellin'	telling
telt	told
temperality	temporality
tempteth	tempts
tender'st	tenderest
tendin'	tending
tenour	tenor
ter	to
terrestial	terrestrial
teter	teeter
tevil	devil
th	that
th'	the
th'Hall	th'hall
tha	that
thar	there
thar's	there's
thay	they
the'	they
the-atricals	theatricals
thear	there
thee't	thou'rt
theh	the
their'n	theirs
their's	theirs
theirseln	themselves
theirselves	themselves
theirsens	themselves
thenee	thence
ther's	there's
therby	thereby
thereabout	thereabouts
therefor	therefore
they'ld	they'd
they's	there's
thick-headed	thickheaded
thick-skin	thickskin
thickenin'	thickening
thief-stol'n	thief-stolen
think'st	thinkest
thinkin	thinking
thinkin'	thinking
thinkst	thinkest
thir	their
third-borough	thirdborough
this'	this's
tho'	though
thof	though
thoft	thought
thoght	thought
thorn-bush	thornbush
thou'ldst	thou'dst
thou't	thou'lt
thought'st	thoughtest
thoughts'	thoughts
thowt	thought
thrang	thronged
threatenin'	threatening
threepences	threepence
threepiled	three-piled
threfore	therefore
threw'st	threwest
thriveth	thrives
thro'	through
throughfares	thoroughfares
throughly	thoroughly
thrusteth	thrusts
thump'd	thumped
thunder'st	thunderest
thunder-batter'd	thunder-battered
thunder-claps	thunderclaps
thunder-stone	thunderstone
thunder-stroke	thunderstroke
thurst	thirst
thysel	thyself
thysen	thyself
tic-Dolly-row	tic-dolly-row
tick-tack	ticktack
tidyed	tidied
til	till
tilly-fally	tillyvally
tilt-yard	tiltyard
tinselled	tinseled
tip-toe	tiptoe
tipplin'	tippling
tir'd	tired
tirin'	tiring
tis	it's
tisick	phthisic
tithe-pig's	tithe's
title-page	titlepage
tke	the
to'	to
to-day	today
to-morrow	tomorrow
to-morrow's	tomorrow's
to-morrows	tomorrows
to-night	tonight
toder	tother
toge	toga
togither	together
toimes	times
toke	took
tol'able	tolerable
tolable	tolerable
told'st	toldest
tongeus	tongues
took'st	tookest
tooth-drawer	toothdrawer
top-gallant	topgallant
topfull	topful
torment'st	tormentest
tormenteth	torments
tosseth	tosses
tossin'	tossing
touch-stone	touchstone
toucheth	touches
tould	told
toun	town
tow'rds	towards
tow'rt	toward
toward	towards
towart	toward
towelling	toweling
tower-hill	towerhill
town-Hall	town-hall
town-Ho	town-ho
trackin'	tracking
trail'st	trailest
tramp'd	tramped
tranquility	tranquillity
trapesin'	trapesing
travaileth	travails
travelled	traveled
travellest	travelest
travelling	traveling
tread'st	treadest
treambled	trembled
treatin'	treating
tremlbing	trembling
trempling	trembling
tript	tripped
triumphery	triumvirate
troat	throat
trompet	trumpet
troth-plight	trothplighted
troublin	troubling
troups	troops
trow'st	trowest
trowsers	trousers
true-bred	truebred
true-hearted	truehearted
true-love	truelove
trustin'	trusting
try-Works	try-works
tryin	trying
tryin'	trying
tuh	to
tuk	took
tull	till
tum'le	tumble
tumblin'	tumbling
tung	tongue
tuold	told
turkies	turkeys
turn'st	turnest
turneth	turns
turnin'	turning
turrer	tother
tushes	tusks
tvice	twice
twelvemont'	twelvemonths'
twit	twitted
two-fold	twofold
twopences	twopence
tye	tie
ud	would
udge	judge
udnertakes	undertakes
ugh!	ugh
ull	will
un's	one's
unaisy	uneasy
unaneled	unannealed
unawars	unawares
unbecomin'	unbecoming
unbegot	unbegotten
unbiassed	unbiased
unco	uncommon
unconstrain'd	unconstrained
under-Secretary	under-secretary
under-bred	underbred
under-foot	underfoot
under-rated	underrated
under-selling	underselling
understan'	understand
understand'st	understandest
understandeth	understands
underta'en	undertaken
underteks	undertakes
undervallying	undervaluing
underwrit	underwit
unequalled	unequaled
unfoldeth	unfolds
unfort'nate	unfortunate
unfort'nt	unfortunate
unfortnet	unfortunate
unhook	unhooked
unkenn'd	unkenned
unnat'ral	unnatural
unpleasant'st	unpleasantest
unprovokes	unprovoked
unravelling	unraveling
unreconciliable	unreconcilable
unremoveable	unremovable
unremoveably	unremovably
unripedst	unrippedest
uns	ones
unspoke	unspoken
untempering	untempered
untill	until
up'ards	upwards
up-cast	upcast
up-roused	uproused
up-spring	upspring
up-staris	upstairs
upheaveth	upheaves
upholdeth	upholds
upo'	upon
upom	upon
upwards	upward
urgeth	urges
useth	uses
usin	using
usin'	using
usurp'd	usurped
usurp'st	usurpest
ut'	that
ut's	that's
uther	other
uttereth	utters
v'y'ge	voyage
valeyable	valuable
vally	valley
valor	valour
vanisheth	vanishes
vara	very
varld	world
varrah	very
varry	very
varsal	universal
vat	what
vaward	vanguard
ve	have
ve-ry	very
vell	well
ventur'	venture
ventur'd	ventured
ver	for
vestry-Boards	vestry-boards
vetch	fetch
vexeth	vexes
vexin'	vexing
vherefore	wherefore
victualled	victualed
victualling	victualing
viddout	without
vieweth	views
vill	will
villanies	villainies
villanous	villainous
villany	villainy
violenteth	violents
virginalling	virginaling
vlouting-stog	vlouting-stock
voeiferated	vociferated
volk	folk
vorld	world
vortnight	fortnight
voutsafe	vouchsafe
vow'd	vowed
vowedst	vowedest
vry	very
vun	fun
vurther	further
w'	with
w'ed	we'd
w-r-retches	wretches
wa'	wall
wa's	walls
wa-ter-Fall	waterfall
wadna	wouldn't
waft	wafted
wah	why
waiscoats	waistcoats
waiteth	waits
waitin'	waiting
wakin'	waking
wal	well
wald	walled
walk'st	walkest
walkin'	walking
wall'd	walled
wan	won
wan't	wasn't
wander'st	wanderest
wandereth	wanders
wanned	waned
want'st	wantest
want-wit	wantwit
wanteth	wants
wantin'	wanting
war'nt	weren't
war-Office	war-office
war-man	warman
ware-a	ware
warld	world
warn't	weren't
warna	weren't
warnt	weren't
warr'd	warred
warr'st	warrest
warranteth	warrants
was'n	wasn't
was'nt	wasn't
washin	washing
washin'	washing
wasna	wasn't
wast	waste
wat	that
watch-'ords	watchwords
watchin'	watching
water-colours	watercolours
water-fly	waterfly
water-work	waterwork
waur	worse
waverley-Castle	Waverley-Castle
waverley-Chase	Waverley-Chase
waverley-Hall	Waverley-Hall
waw'nt	wasn't
wax-Work	wax-work
waxeth	waxes
way-laid	waylaid
we'ld	we'd
we'n	we've
weak-hearted	weakhearted
weakspur'ted	weak-spirited
wear'st	wearest
wear-a	wear
weareth	wears
weather-beaten	weatherbeaten
wecould	could
wed'st	weddest
wedder	whether
weddin'	wedding
weel	well
weel-fa'rd	well-fared
weel-far'd	welfared
weep'st	weepest
weepons	weapons
weigh'st	weighest
weil	well
weld	wielded
well!	well
well-a-day	welladay
well-apparelled	well-appareled
well-born	wellborn
well-bred	wellbred
well-doing	welldoing
well-known	wellknown
